caregiver_id,empathy_score,activity_score,patience_score,independence_score
1,77.5,57.5,74.4,85.5
2,66.5,55.8,94.4,70.3
3,63.0,69.8,67.4,45.7
4,73.6,25.6,51.5,43.8
5,54.8,65.7,61.3,26.8
6,92.0,55.9,69.0,26.5
7,61.8,62.0,56.8,62.5
8,61.0,54.7,65.0,92.0
9,69.8,41.0,82.9,30.6
10,73.1,24.7,53.9,58.9
11,81.1,63.1,75.6,49.0
12,47.8,47.0,65.1,76.1
13,75.2,28.3,74.5,47.3
14,59.8,71.0,87.8,73.6
15,57.4,54.4,80.2,74.5
16,62.8,56.7,60.5,31.1
17,82.2,84.4,69.7,75.1
18,75.4,48.4,80.5,85.8
19,69.5,88.2,42.4,71.4
20,71.3,54.6,68.5,20.0
21,66.7,66.4,93.9,44.6
22,57.9,51.0,80.8,61.6
23,62.1,69.2,71.8,74.4
24,59.5,54.1,68.3,25.7
25,74.4,64.7,70.7,50.3
26,48.8,52.4,70.5,39.0
27,67.6,67.3,94.0,58.5
28,73.9,58.7,49.2,54.5
29,70.9,100.0,64.3,61.0
30,69.5,39.0,86.7,70.0
31,81.9,43.6,91.4,27.0
32,78.8,99.4,64.3,43.7
33,71.5,50.9,52.8,56.4
34,54.1,68.5,66.0,86.0
35,58.3,54.2,78.8,30.4
36,73.4,83.5,56.1,58.7
37,73.9,74.1,58.2,28.6
38,77.8,65.3,75.2,61.9
39,59.8,64.2,74.9,40.7
40,98.0,68.5,56.3,68.1
41,55.4,74.2,82.9,38.6
42,84.5,67.4,76.5,92.9
43,66.3,46.4,58.3,38.7
44,68.8,66.1,78.7,71.5
45,70.2,86.2,71.4,100.0
46,79.4,44.6,56.9,64.6
47,66.6,72.9,74.7,53.5
48,57.3,32.7,62.0,72.1
49,73.2,37.6,72.7,62.7
50,56.7,62.8,68.9,32.1
51,75.4,70.1,86.8,76.1
52,49.3,43.1,75.2,65.3
53,77.7,100.0,79.1,77.7
54,84.3,71.7,70.0,70.2
55,58.4,55.7,64.0,56.6
56,100.0,26.4,76.4,22.7
57,62.9,79.6,67.4,33.4
58,59.3,72.2,62.6,59.3
59,70.7,48.3,94.7,67.7
60,39.6,63.4,65.1,72.0
61,58.1,57.9,72.7,72.3
62,52.0,54.0,70.5,41.9
63,96.5,67.3,57.9,73.4
64,100.0,78.6,56.4,45.3
65,89.0,47.3,76.7,70.5
66,56.1,58.9,34.1,34.5
67,66.2,37.5,90.2,26.4
68,63.4,62.4,87.1,26.3
69,87.4,60.2,60.4,64.2
70,73.0,49.2,68.2,47.3
71,71.7,71.9,92.8,30.2
72,100.0,24.9,74.4,66.8
73,74.2,48.8,73.7,45.1
74,61.2,75.3,72.5,41.1
75,83.5,65.5,82.8,67.6
76,57.6,49.9,84.4,67.2
77,69.7,62.1,89.9,43.2
78,78.2,56.4,72.8,77.0
79,82.4,74.6,90.3,55.4
80,80.2,54.4,79.3,52.4
81,71.5,70.7,57.6,96.8
82,54.9,38.1,81.3,70.8
83,79.4,71.3,74.5,37.1
84,71.1,47.8,79.9,52.1
85,57.6,54.2,73.2,43.7
86,57.7,64.4,70.3,44.9
87,62.9,64.2,54.8,26.9
88,59.2,56.2,75.9,84.5
89,82.9,57.1,76.0,34.9
90,69.7,54.8,79.3,38.5
91,77.8,87.6,70.9,63.0
92,80.4,52.8,78.9,55.3
93,71.5,46.1,75.7,65.0
94,91.8,77.3,97.2,39.7
95,83.1,63.3,93.7,38.8
96,57.4,49.2,50.7,44.5
97,58.6,62.7,75.5,92.5
98,84.3,49.6,65.4,64.8
99,50.2,93.0,81.6,45.6
100,44.3,84.4,69.2,79.8
101,46.1,49.2,74.7,55.9
102,63.2,71.2,61.0,52.2
103,71.8,69.3,79.1,32.5
104,47.0,83.0,70.6,40.0
105,93.3,62.1,90.4,56.4
106,100.0,91.6,66.0,74.4
107,79.7,84.6,60.6,68.7
108,85.9,28.3,61.2,20.0
109,66.0,72.9,95.0,56.5
110,94.4,35.2,53.4,53.9
111,75.8,59.4,45.8,53.2
112,50.4,72.1,74.2,36.2
113,62.3,40.9,69.0,74.1
114,55.2,69.1,68.2,39.1
115,68.4,41.4,64.8,31.0
116,99.5,60.6,59.8,59.3
117,68.3,56.0,81.2,70.2
118,62.0,49.6,63.3,20.0
119,47.3,84.6,95.1,50.0
120,78.6,65.6,100.0,77.4
121,68.1,42.8,51.3,59.1
122,58.7,34.4,68.4,33.4
123,95.3,75.9,76.1,84.6
124,71.2,44.5,92.1,65.8
125,54.4,56.6,63.3,27.3
126,83.9,94.4,54.6,66.3
127,60.2,51.2,67.5,37.7
128,70.7,45.0,78.6,54.0
129,66.4,43.7,66.9,70.1
130,77.5,42.4,72.6,70.0
131,45.0,69.8,64.2,66.4
132,58.6,27.5,57.5,56.0
133,73.9,43.7,84.7,21.8
134,69.0,38.2,61.2,55.9
135,57.1,53.1,87.5,43.5
136,82.5,39.7,75.4,83.8
137,32.9,45.7,76.7,50.9
138,75.6,49.1,70.0,51.9
139,87.5,64.6,76.3,46.8
140,62.7,52.2,73.7,46.6
141,74.3,97.4,86.7,48.5
142,88.0,52.7,46.1,34.8
143,41.9,53.7,72.4,88.5
144,74.9,56.1,78.2,20.0
145,73.5,73.9,52.1,77.9
146,75.1,52.5,75.8,100.0
147,72.7,64.5,63.5,38.0
148,82.5,44.6,77.1,45.4
149,77.2,66.0,87.1,44.8
150,66.0,42.4,70.1,62.5
151,81.4,43.4,80.2,82.1
152,76.2,93.8,63.7,30.1
153,43.3,86.9,75.3,53.9
154,74.2,39.7,99.1,57.6
155,71.6,73.1,78.8,59.5
156,58.1,68.5,94.8,81.9
157,93.9,50.8,57.1,52.5
