matching_id,request_id,patient_id,caregiver_id,personality_score,specialty_score,region_score,total_score,grade,status,ai_comment,contract_start_date,contract_end_date,created_at
1,1,1,26,92.1,25.0,20.0,44.5,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-10-05
2,1,1,760,88.6,25.0,75.0,61.5,B,cancelled,적응 기간이 다소 필요할 수 있습니다.,,,2025-10-13
3,1,1,282,74.8,50.0,75.0,65.8,B,completed,기본적인 케어 역량을 갖추고 있습니다.,2025-10-12,2025-11-18,2025-08-07
4,1,1,251,76.0,25.0,75.0,50.6,C,selected,추가 교육이나 지원이 필요할 수 있습니다.,,,2024-11-25
5,2,2,430,75.1,0.0,50.0,41.4,C,recommended,추가 교육이나 지원이 필요할 수 있습니다.,,,2024-12-04
6,2,2,226,75.1,0.0,50.0,38.0,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-09-08
7,2,2,460,81.5,33.3,75.0,57.8,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-10-05
8,2,2,604,80.4,100.0,50.0,76.5,B+,completed,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,2025-09-09,2026-01-08,2025-01-21
9,2,2,285,72.2,33.3,50.0,53.4,C,selected,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-09-24
10,2,2,829,72.4,66.7,50.0,69.2,B,completed,적응 기간이 다소 필요할 수 있습니다.,2025-04-18,2025-06-07,2025-06-29
11,2,2,891,72.3,0.0,50.0,41.7,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-02-04
12,2,2,7,80.7,0.0,50.0,37.7,C,cancelled,추가 교육이나 지원이 필요할 수 있습니다.,,,2025-11-03
13,3,3,792,87.2,50.0,75.0,72.9,B+,completed,성격 궁합이 양호하며 적응이 빠를 것으로 예상됩니다.,2025-04-17,2025-07-27,2025-01-05
14,3,3,297,77.9,75.0,75.0,74.7,B+,recommended,주요 질환에 대한 케어 경험이 있습니다.,,,2024-12-18
15,3,3,82,86.5,0.0,75.0,46.7,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-12-30
16,3,3,876,74.9,25.0,75.0,50.7,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2025-08-31
17,3,3,239,73.5,50.0,75.0,64.8,B,recommended,기본적인 케어 역량을 갖추고 있습니다.,,,2025-09-04
18,4,4,389,85.5,33.3,75.0,63.8,B,active,기본적인 케어 역량을 갖추고 있습니다.,2025-09-30,,2025-11-10
19,4,4,277,79.6,33.3,50.0,56.8,C,recommended,다른 후보도 함께 검토해 보시기 바랍니다.,,,2025-07-12
20,4,4,948,80.5,33.3,75.0,55.9,C,recommended,일부 조건 불일치가 있어 확인이 필요합니다.,,,2024-11-24
