review_id,matching_id,reviewer_id,reviewer_type,rating,comment,created_at
1,3,1,guardian,3,무난했습니다.,2025-11-18
2,8,2,guardian,3,보통이었습니다.,2026-01-08
3,10,2,guardian,3,무난했습니다.,2025-06-07
4,13,3,guardian,3,보통이었습니다.,2025-07-27
5,26,5,guardian,2,아쉬운 점이 있었습니다.,2025-12-24
6,36,6,guardian,2,기대에 미치지 못했습니다.,2025-03-01
7,39,7,guardian,3,무난했습니다.,2025-04-01
8,44,8,guardian,2,기대에 미치지 못했습니다.,2025-06-12
9,48,8,guardian,4,좋은 서비스였습니다.,2025-12-26
10,52,9,guardian,2,소통이 어려웠습니다.,2025-07-04
11,53,9,guardian,3,보통이었습니다.,2025-11-05
12,54,9,guardian,3,보통이었습니다.,2025-03-16
13,55,9,guardian,4,성실하게 케어해 주셨습니다.,2025-09-09
14,56,9,guardian,2,소통이 어려웠습니다.,2025-12-10
15,63,11,guardian,3,무난했습니다.,2026-02-19
16,68,12,guardian,2,아쉬운 점이 있었습니다.,2025-06-06
17,71,12,guardian,2,아쉬운 점이 있었습니다.,2025-05-10
18,74,13,guardian,2,아쉬운 점이 있었습니다.,2025-08-28
19,75,13,guardian,2,소통이 어려웠습니다.,2025-07-17
20,76,13,guardian,2,소통이 어려웠습니다.,2025-11-05
21,77,13,guardian,3,보통이었습니다.,2025-09-03
22,81,14,guardian,2,기대에 미치지 못했습니다.,2026-02-06
23,87,15,guardian,1,다른 간병인을 추천받고 싶습니다.,2026-01-08
24,89,16,guardian,2,아쉬운 점이 있었습니다.,2026-01-02
25,92,16,guardian,2,아쉬운 점이 있었습니다.,2025-07-24
26,93,16,guardian,3,보통이었습니다.,2025-08-26
27,95,17,guardian,2,소통이 어려웠습니다.,2025-11-20
28,102,18,guardian,3,무난했습니다.,2025-09-06
29,105,19,guardian,3,보통이었습니다.,2025-07-02
30,108,19,guardian,3,개선이 필요한 부분이 있습니다.,2025-09-23
31,114,21,guardian,2,기대에 미치지 못했습니다.,2025-08-22
32,116,21,guardian,3,개선이 필요한 부분이 있습니다.,2025-03-16
33,117,21,guardian,1,개선이 많이 필요합니다.,2025-09-02
34,119,22,guardian,2,소통이 어려웠습니다.,2025-07-18
35,121,22,guardian,3,개선이 필요한 부분이 있습니다.,2025-05-14
36,122,22,guardian,3,무난했습니다.,2025-09-11
37,127,23,guardian,2,소통이 어려웠습니다.,2025-12-05
38,128,23,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-22
39,138,25,guardian,1,다른 간병인을 추천받고 싶습니다.,2025-11-23
40,151,27,guardian,3,무난했습니다.,2025-12-24
41,157,28,guardian,3,보통이었습니다.,2025-11-25
42,158,28,guardian,2,아쉬운 점이 있었습니다.,2025-11-17
43,160,28,guardian,2,소통이 어려웠습니다.,2025-05-14
44,163,29,guardian,3,개선이 필요한 부분이 있습니다.,2025-05-15
45,166,29,guardian,3,개선이 필요한 부분이 있습니다.,2025-05-02
46,171,31,guardian,3,무난했습니다.,2025-08-22
47,184,33,guardian,3,개선이 필요한 부분이 있습니다.,2025-11-21
48,187,33,guardian,2,아쉬운 점이 있었습니다.,2025-05-07
49,192,34,guardian,3,개선이 필요한 부분이 있습니다.,2025-05-23
50,197,35,guardian,2,기대에 미치지 못했습니다.,2025-03-09
51,198,35,guardian,2,기대에 미치지 못했습니다.,2025-09-30
52,199,35,guardian,3,보통이었습니다.,2025-12-03
53,200,35,guardian,3,보통이었습니다.,2025-03-22
54,201,35,guardian,4,좋은 서비스였습니다.,2025-12-07
55,204,36,guardian,2,소통이 어려웠습니다.,2025-06-04
56,208,36,guardian,3,개선이 필요한 부분이 있습니다.,2025-06-28
57,212,37,guardian,3,무난했습니다.,2025-07-05
58,215,37,guardian,2,기대에 미치지 못했습니다.,2025-05-11
59,218,38,guardian,2,기대에 미치지 못했습니다.,2025-10-20
60,219,38,guardian,2,기대에 미치지 못했습니다.,2025-08-30
61,220,38,guardian,2,기대에 미치지 못했습니다.,2026-01-28
62,229,39,guardian,3,개선이 필요한 부분이 있습니다.,2025-07-12
63,231,40,guardian,2,아쉬운 점이 있었습니다.,2025-07-04
64,236,40,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-12
65,239,41,guardian,3,개선이 필요한 부분이 있습니다.,2025-10-06
66,250,43,guardian,2,기대에 미치지 못했습니다.,2025-06-20
67,253,43,guardian,3,무난했습니다.,2025-07-12
68,258,44,guardian,2,소통이 어려웠습니다.,2025-10-09
69,265,45,guardian,3,개선이 필요한 부분이 있습니다.,2025-09-27
70,266,45,guardian,2,기대에 미치지 못했습니다.,2025-12-26
71,268,45,guardian,2,소통이 어려웠습니다.,2025-07-21
72,271,46,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-23
73,272,46,guardian,1,다른 간병인을 추천받고 싶습니다.,2026-01-07
74,273,46,guardian,2,아쉬운 점이 있었습니다.,2025-06-21
75,277,47,guardian,2,소통이 어려웠습니다.,2025-07-20
76,279,47,guardian,1,불만족스러웠습니다.,2025-04-16
77,280,47,guardian,2,아쉬운 점이 있었습니다.,2025-06-23
78,281,47,guardian,3,개선이 필요한 부분이 있습니다.,2026-01-09
79,293,49,guardian,2,소통이 어려웠습니다.,2025-12-05
80,297,50,guardian,2,기대에 미치지 못했습니다.,2025-08-26
81,299,50,guardian,4,전반적으로 만족합니다.,2025-11-06
82,305,51,guardian,3,개선이 필요한 부분이 있습니다.,2026-02-25
83,309,51,guardian,1,불만족스러웠습니다.,2025-05-12
84,315,52,guardian,3,무난했습니다.,2025-11-18
85,316,52,guardian,3,무난했습니다.,2025-05-16
86,322,53,guardian,1,개선이 많이 필요합니다.,2025-07-23
87,326,54,guardian,3,보통이었습니다.,2025-06-26
88,332,55,guardian,2,기대에 미치지 못했습니다.,2025-03-02
89,337,56,guardian,3,개선이 필요한 부분이 있습니다.,2025-03-26
90,338,56,guardian,3,개선이 필요한 부분이 있습니다.,2025-08-07
